a,b,top_overlap,spearman
risk_adjusted,dollar_pnl,0.7733,0.661
revenue_first,risk_adjusted,0.8063,0.9733
risk_adjusted,rank_ensemble,0.8216,0.9405
full_pnl,dollar_pnl,0.8373,0.6626
risk_adjusted,relationship,0.8474,0.983
relationship,dollar_pnl,0.851,0.6616
revenue_first,dollar_pnl,0.8512,0.6303
full_pnl,risk_adjusted,0.8802,0.9912
full_pnl,rank_ensemble,0.9092,0.9475
revenue_first,full_pnl,0.9124,0.9898
dollar_pnl,rank_ensemble,0.9182,0.8502
revenue_first,rank_ensemble,0.9194,0.9312
relationship,rank_ensemble,0.9244,0.9475
revenue_first,relationship,0.9283,0.9927
full_pnl,relationship,0.951,0.997
